Time,Port,Metric,Value
2026-05-28 15:50:00.000,0,rx_nombuf,0
2026-05-28 15:50:00.000,0,ibytes,871
2026-05-28 15:50:00.000,0,imissed,0
2026-05-28 15:50:00.000,0,ipackets,3
2026-05-28 15:50:00.000,0,ierrors,0
2026-05-28 15:50:00.000,0,oerrors,0
2026-05-28 15:50:00.000,0,opackets,0
2026-05-28 15:50:00.000,0,obytes,0
2026-05-28 15:50:00.000,n,Value,1
2026-05-28 15:50:01.000,0,rx_nombuf,0
2026-05-28 15:50:01.000,0,ibytes,871
2026-05-28 15:50:01.000,0,imissed,0
2026-05-28 15:50:01.000,0,ipackets,3
2026-05-28 15:50:01.000,0,ierrors,0
2026-05-28 15:50:01.000,0,oerrors,54
2026-05-28 15:50:01.000,0,opackets,19774108
2026-05-28 15:50:01.000,0,obytes,1186444560
2026-05-28 15:50:01.000,n,Value,1
2026-05-28 15:50:02.000,0,rx_nombuf,0
2026-05-28 15:50:02.000,0,ibytes,871
2026-05-28 15:50:02.000,0,imissed,0
2026-05-28 15:50:02.000,0,ipackets,3
2026-05-28 15:50:02.000,0,ierrors,0
2026-05-28 15:50:02.000,0,oerrors,154
2026-05-28 15:50:02.000,0,opackets,56977284
2026-05-28 15:50:02.000,0,obytes,3418635248
2026-05-28 15:50:02.000,n,Value,1
2026-05-28 15:50:03.000,0,rx_nombuf,0
2026-05-28 15:50:03.000,0,ibytes,871
2026-05-28 15:50:03.000,0,imissed,0
2026-05-28 15:50:03.000,0,ipackets,3
2026-05-28 15:50:03.000,0,ierrors,0
2026-05-28 15:50:03.000,0,oerrors,254
2026-05-28 15:50:03.000,0,opackets,94180497
2026-05-28 15:50:03.000,0,obytes,5650827964
2026-05-28 15:50:03.000,n,Value,1
2026-05-28 15:50:04.000,0,rx_nombuf,0
2026-05-28 15:50:04.000,0,ibytes,871
2026-05-28 15:50:04.000,0,imissed,0
2026-05-28 15:50:04.000,0,ipackets,3
2026-05-28 15:50:04.000,0,ierrors,0
2026-05-28 15:50:04.000,0,oerrors,354
2026-05-28 15:50:04.000,0,opackets,131383712
2026-05-28 15:50:04.000,0,obytes,7883020864
