experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
XDPFW_100ports_50blocked_dir15,100,15,1,37203379,9579743,74.25
XDPFW_100ports_50blocked_dir15_41,100,15_41,1,37203313,4264724,88.54
XDPFW_100ports_50blocked_dir41,100,41,1,37200742,0,100.0
XDPFW_10ports_5blocked_dir15,10,15,1,37182368,11580879,68.85
XDPFW_10ports_5blocked_dir15_41,10,15_41,1,37203058,3400225,90.86
XDPFW_10ports_5blocked_dir41,10,41,1,37145256,0,100.0
XDPFW_20ports_10blocked_dir15,20,15,1,37202973,10963179,70.53
XDPFW_20ports_10blocked_dir15_41,20,15_41,1,37201169,6087825,83.64
XDPFW_20ports_10blocked_dir41,20,41,1,37182501,0,100.0
XDPFW_30ports_15blocked_dir15,30,15,1,37187434,10216266,72.53
XDPFW_30ports_15blocked_dir15_41,30,15_41,1,37203395,5000904,86.56
XDPFW_30ports_15blocked_dir41,30,41,1,37198696,0,100.0
XDPFW_40ports_20blocked_dir15,40,15,1,37196668,10283188,72.35
XDPFW_40ports_20blocked_dir15_41,40,15_41,1,37140900,4768272,87.16
XDPFW_40ports_20blocked_dir41,40,41,1,37192953,0,100.0
XDPFW_50ports_25blocked_dir15,50,15,1,37203325,10685724,71.28
XDPFW_50ports_25blocked_dir15_41,50,15_41,1,37188985,10768103,71.04
XDPFW_50ports_25blocked_dir41,50,41,1,37203192,0,100.0
XDPFW_60ports_30blocked_dir15,60,15,1,37203399,10050617,72.98
XDPFW_60ports_30blocked_dir15_41,60,15_41,1,37203379,4768619,87.18
XDPFW_60ports_30blocked_dir41,60,41,1,37203183,0,100.0
XDPFW_70ports_35blocked_dir15,70,15,1,37203394,10352339,72.17
XDPFW_70ports_35blocked_dir15_41,70,15_41,1,37061896,4698690,87.32
XDPFW_70ports_35blocked_dir41,70,41,1,37193626,0,100.0
XDPFW_80ports_40blocked_dir15,80,15,1,37203399,10146437,72.73
XDPFW_80ports_40blocked_dir15_41,80,15_41,1,37162673,4614852,87.58
XDPFW_80ports_40blocked_dir41,80,41,1,37202210,0,100.0
XDPFW_90ports_45blocked_dir15,90,15,1,37203294,9961659,73.22
XDPFW_90ports_45blocked_dir15_41,90,15_41,1,37186540,4483320,87.94
XDPFW_90ports_45blocked_dir41,90,41,1,37200393,0,100.0
XDPFW_incr_10ports_10blocked_dir15,10,15,1,37203347,0,100.0
XDPFW_incr_10ports_10blocked_dir15_41,10,15_41,1,37203381,0,100.0
XDPFW_incr_10ports_10blocked_dir41,10,41,1,37190514,0,100.0
XDPFW_incr_10ports_1blocked_dir15,10,15,1,37203302,23343737,37.25
XDPFW_incr_10ports_1blocked_dir15_41,10,15_41,1,37203310,10827924,70.9
XDPFW_incr_10ports_1blocked_dir41,10,41,1,37203165,0,100.0
XDPFW_incr_10ports_2blocked_dir15,10,15,1,37203347,21227357,42.94
XDPFW_incr_10ports_2blocked_dir15_41,10,15_41,1,37203353,9902455,73.38
XDPFW_incr_10ports_2blocked_dir41,10,41,1,37203188,0,100.0
XDPFW_incr_10ports_3blocked_dir15,10,15,1,37203370,18858193,49.31
XDPFW_incr_10ports_3blocked_dir15_41,10,15_41,1,37203371,8577934,76.94
XDPFW_incr_10ports_3blocked_dir41,10,41,1,37203194,0,100.0
XDPFW_incr_10ports_4blocked_dir15,10,15,1,37203378,15542208,58.22
XDPFW_incr_10ports_4blocked_dir15_41,10,15_41,1,37202295,7089016,80.94
XDPFW_incr_10ports_4blocked_dir41,10,41,1,0,0,0.0
XDPFW_incr_10ports_5blocked_dir15,10,15,1,37203303,11355716,69.48
XDPFW_incr_10ports_5blocked_dir15_41,10,15_41,1,37203360,4639589,87.53
XDPFW_incr_10ports_5blocked_dir41,10,41,1,37203184,0,100.0
XDPFW_incr_10ports_6blocked_dir15,10,15,1,37187091,6919860,81.39
XDPFW_incr_10ports_6blocked_dir15_41,10,15_41,1,37203385,2544640,93.16
XDPFW_incr_10ports_6blocked_dir41,10,41,1,37203075,0,100.0
XDPFW_incr_10ports_7blocked_dir15,10,15,1,37203355,5945024,84.02
XDPFW_incr_10ports_7blocked_dir15_41,10,15_41,1,37203234,1731818,95.34
XDPFW_incr_10ports_7blocked_dir41,10,41,1,37203174,0,100.0
XDPFW_incr_10ports_8blocked_dir15,10,15,1,37182671,3402496,90.85
XDPFW_incr_10ports_8blocked_dir15_41,10,15_41,1,37203391,925366,97.51
XDPFW_incr_10ports_8blocked_dir41,10,41,1,37201615,0,100.0
XDPFW_incr_10ports_9blocked_dir15,10,15,1,37172253,1225600,96.7
XDPFW_incr_10ports_9blocked_dir15_41,10,15_41,1,37203363,296303,99.2
XDPFW_incr_10ports_9blocked_dir41,10,41,1,37203191,0,100.0
XDP_1024-1024_Port_No_Block_15,1,15,1,37203309,11214400,69.86
XDP_1024-1024_Port_No_Block_15_41,1,15_41,1,37203316,4955712,86.68
XDP_1024-1024_Port_No_Block_15_41_v2,1,15_41,1,37202968,12086853,67.51
XDP_1024-1024_Port_No_Block_15_v2,1,15,1,37193169,13059592,64.89
XDP_1024-1024_Port_No_Block_41,1,41,1,37203172,0,100.0
XDP_1024-1024_Port_No_Block_41_v2,1,41,1,37174778,0,100.0
XDP_1024-1025_Port_No_Block_15,2,15,1,37203346,9632727,74.11
XDP_1024-1025_Port_No_Block_15_41,2,15_41,1,37203361,5911424,84.11
XDP_1024-1025_Port_No_Block_15_41_v2,2,15_41,1,37203357,11433931,69.27
XDP_1024-1025_Port_No_Block_15_v2,2,15,1,37199309,12346752,66.81
XDP_1024-1025_Port_No_Block_41,2,41,1,37203192,0,100.0
XDP_1024-1025_Port_No_Block_41_v2,2,41,1,37158548,0,100.0
XDP_1024-1026_Port_No_Block_15,3,15,1,37203373,11999296,67.75
XDP_1024-1026_Port_No_Block_15_41,3,15_41,1,37203374,4853952,86.95
XDP_1024-1026_Port_No_Block_15_41_v2,3,15_41,1,37203364,10547703,71.65
XDP_1024-1026_Port_No_Block_15_v2,3,15,1,37203401,10835802,70.87
XDP_1024-1026_Port_No_Block_41,3,41,1,37194318,0,100.0
XDP_1024-1026_Port_No_Block_41_v2,3,41,1,37203069,0,100.0
XDP_1024-1027_Port_No_Block_15,4,15,1,37191191,10276928,72.37
XDP_1024-1027_Port_No_Block_15_41,4,15_41,1,37171579,10527531,71.68
XDP_1024-1027_Port_No_Block_41,4,41,1,0,0,0.0
XDP_1024-1027_Port_No_Block_41_v2,4,41,1,37201353,0,100.0
XDP_1024-1028_Port_No_Block_15,5,15,1,37203378,16470198,55.73
XDP_1024-1028_Port_No_Block_15_41,5,15_41,1,37174033,9605056,74.16
XDP_1024-1028_Port_No_Block_41,5,41,1,37183283,0,100.0
XDP_1024-1029_Port_No_Block_15,6,15,1,37203342,20958781,43.66
XDP_1024-1029_Port_No_Block_15_41,6,15_41,1,37203380,10401724,72.04
XDP_1024-1029_Port_No_Block_41,6,41,1,37173921,0,100.0
XDP_1024-1030_Port_No_Block_15,7,15,1,37203377,20400585,45.16
XDP_1024-1030_Port_No_Block_15_41,7,15_41,1,37176209,9777159,73.7
XDP_1024-1030_Port_No_Block_41,7,41,1,37186581,0,100.0
XDP_1024-1031_Port_No_Block_15,8,15,1,37154924,20341032,45.25
XDP_1024-1031_Port_No_Block_15_41,8,15_41,1,37203367,9686814,73.96
XDP_1024-1031_Port_No_Block_41,8,41,1,37200688,0,100.0
XDP_1024-1032_Port_No_Block_15,9,15,1,37158491,21061245,43.32
XDP_1024-1032_Port_No_Block_15_41,9,15_41,1,37203362,9727402,73.85
XDP_1024-1032_Port_No_Block_41,9,41,1,37203187,0,100.0
XDP_1024-1033_Port_No_Block_15,10,15,1,37203356,22097905,40.6
XDP_1024-1033_Port_No_Block_15_41,10,15_41,1,37203374,10200775,72.58
XDP_1024-1033_Port_No_Block_41,10,41,1,37202023,0,100.0
