Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

20:49:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:49:55     all    0,50    0,00    0,17    0,00    0,00   16,67    0,00    0,00    0,00   82,67
20:49:55       0    7,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   92,00
20:49:55       1    3,03    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,97
20:49:55       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       3    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
20:49:55       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      10    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      14    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
20:49:55      15    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      16    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
20:49:55      17    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:49:55      18    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:55      19    0,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
20:49:55      20    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
20:49:55      21    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
20:49:55      22    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   99,01
20:49:55      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

20:49:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:49:56     all    0,17    0,00    0,04    0,04    0,00   16,66    0,00    0,00    0,00   83,09
20:49:56       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:56       1    2,97    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   96,04
20:49:56       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:56       3    0,00    0,00    0,00    0,00    0,00  100,00    0,00    0,00    0,00    0,00
20:49:56       4    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:56       5    0,00    0,00    0,00    0,99    0,00    0,00    0,00    0,00    0,00   99,01
20:49:56       6    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:56       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
20:49:56       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
