Time,Port,Metric,Value
2026-05-13 21:49:16.000,1,oerrors,0
2026-05-13 21:49:16.000,1,imissed,0
2026-05-13 21:49:16.000,1,obytes,0
2026-05-13 21:49:16.000,1,opackets,0
2026-05-13 21:49:16.000,1,rx_nombuf,0
2026-05-13 21:49:16.000,1,ipackets,3021565
2026-05-13 21:49:16.000,1,ierrors,0
2026-05-13 21:49:16.000,1,ibytes,181293934
2026-05-13 21:49:16.000,0,oerrors,0
2026-05-13 21:49:16.000,0,imissed,0
2026-05-13 21:49:16.000,0,obytes,0
2026-05-13 21:49:16.000,0,opackets,0
2026-05-13 21:49:16.000,0,rx_nombuf,0
2026-05-13 21:49:16.000,0,ipackets,3
2026-05-13 21:49:16.000,0,ierrors,0
2026-05-13 21:49:16.000,0,ibytes,814
2026-05-13 21:49:16.000,n,Value,2
2026-05-13 21:49:17.000,1,oerrors,0
2026-05-13 21:49:17.000,1,imissed,0
2026-05-13 21:49:17.000,1,obytes,0
2026-05-13 21:49:17.000,1,opackets,0
2026-05-13 21:49:17.000,1,rx_nombuf,0
2026-05-13 21:49:17.000,1,ipackets,11517235
2026-05-13 21:49:17.000,1,ierrors,0
2026-05-13 21:49:17.000,1,ibytes,691034262
2026-05-13 21:49:17.000,0,oerrors,0
2026-05-13 21:49:17.000,0,imissed,0
2026-05-13 21:49:17.000,0,obytes,0
2026-05-13 21:49:17.000,0,opackets,0
2026-05-13 21:49:17.000,0,rx_nombuf,0
2026-05-13 21:49:17.000,0,ipackets,3
2026-05-13 21:49:17.000,0,ierrors,0
2026-05-13 21:49:17.000,0,ibytes,814
2026-05-13 21:49:17.000,n,Value,2
2026-05-13 21:49:18.000,1,oerrors,0
2026-05-13 21:49:18.000,1,imissed,0
2026-05-13 21:49:18.000,1,obytes,0
2026-05-13 21:49:18.000,1,opackets,0
2026-05-13 21:49:18.000,1,rx_nombuf,0
2026-05-13 21:49:18.000,1,ipackets,20197676
2026-05-13 21:49:18.000,1,ierrors,0
2026-05-13 21:49:18.000,1,ibytes,1211860722
2026-05-13 21:49:18.000,0,oerrors,0
2026-05-13 21:49:18.000,0,imissed,0
2026-05-13 21:49:18.000,0,obytes,0
2026-05-13 21:49:18.000,0,opackets,0
2026-05-13 21:49:18.000,0,rx_nombuf,0
2026-05-13 21:49:18.000,0,ipackets,3
2026-05-13 21:49:18.000,0,ierrors,0
2026-05-13 21:49:18.000,0,ibytes,814
2026-05-13 21:49:18.000,n,Value,2
2026-05-13 21:49:19.000,1,oerrors,0
2026-05-13 21:49:19.000,1,imissed,0
2026-05-13 21:49:19.000,1,obytes,0
2026-05-13 21:49:19.000,1,opackets,0
2026-05-13 21:49:19.000,1,rx_nombuf,0
2026-05-13 21:49:19.000,1,ipackets,28819917
2026-05-13 21:49:19.000,1,ierrors,0
2026-05-13 21:49:19.000,1,ibytes,1729194798
2026-05-13 21:49:19.000,0,oerrors,0
2026-05-13 21:49:19.000,0,imissed,0
2026-05-13 21:49:19.000,0,obytes,0
2026-05-13 21:49:19.000,0,opackets,0
2026-05-13 21:49:19.000,0,rx_nombuf,0
2026-05-13 21:49:19.000,0,ipackets,3
2026-05-13 21:49:19.000,0,ierrors,0
2026-05-13 21:49:19.000,0,ibytes,814
2026-05-13 21:49:19.000,n,Value,2
2026-05-13 21:49:20.000,1,oerrors,0
2026-05-13 21:49:20.000,1,imissed,0
2026-05-13 21:49:20.000,1,obytes,0
2026-05-13 21:49:20.000,1,opackets,0
2026-05-13 21:49:20.000,1,rx_nombuf,0
2026-05-13 21:49:20.000,1,ipackets,37466238
2026-05-13 21:49:20.000,1,ierrors,0
2026-05-13 21:49:20.000,1,ibytes,2247974122
2026-05-13 21:49:20.000,0,oerrors,0
2026-05-13 21:49:20.000,0,imissed,0
2026-05-13 21:49:20.000,0,obytes,0
2026-05-13 21:49:20.000,0,opackets,0
2026-05-13 21:49:20.000,0,rx_nombuf,0
2026-05-13 21:49:20.000,0,ipackets,3
2026-05-13 21:49:20.000,0,ierrors,0
2026-05-13 21:49:20.000,0,ibytes,814
2026-05-13 21:49:20.000,n,Value,2
2026-05-13 21:49:21.000,1,oerrors,0
2026-05-13 21:49:21.000,1,imissed,0
2026-05-13 21:49:21.000,1,obytes,0
2026-05-13 21:49:21.000,1,opackets,0
2026-05-13 21:49:21.000,1,rx_nombuf,0
2026-05-13 21:49:21.000,1,ipackets,46072573
2026-05-13 21:49:21.000,1,ierrors,0
2026-05-13 21:49:21.000,1,ibytes,2764354414
2026-05-13 21:49:21.000,0,oerrors,0
2026-05-13 21:49:21.000,0,imissed,0
2026-05-13 21:49:21.000,0,obytes,0
2026-05-13 21:49:21.000,0,opackets,0
2026-05-13 21:49:21.000,0,rx_nombuf,0
2026-05-13 21:49:21.000,0,ipackets,3
2026-05-13 21:49:21.000,0,ierrors,0
2026-05-13 21:49:21.000,0,ibytes,814
2026-05-13 21:49:21.000,n,Value,2
2026-05-13 21:49:22.000,1,oerrors,0
2026-05-13 21:49:22.000,1,imissed,0
2026-05-13 21:49:22.000,1,obytes,0
2026-05-13 21:49:22.000,1,opackets,0
2026-05-13 21:49:22.000,1,rx_nombuf,0
2026-05-13 21:49:22.000,1,ipackets,54666665
2026-05-13 21:49:22.000,1,ierrors,0
2026-05-13 21:49:22.000,1,ibytes,3279999998
2026-05-13 21:49:22.000,0,oerrors,0
2026-05-13 21:49:22.000,0,imissed,0
2026-05-13 21:49:22.000,0,obytes,0
2026-05-13 21:49:22.000,0,opackets,0
2026-05-13 21:49:22.000,0,rx_nombuf,0
2026-05-13 21:49:22.000,0,ipackets,3
2026-05-13 21:49:22.000,0,ierrors,0
2026-05-13 21:49:22.000,0,ibytes,814
2026-05-13 21:49:22.000,n,Value,2
2026-05-13 21:49:23.000,1,oerrors,0
2026-05-13 21:49:23.000,1,imissed,0
2026-05-13 21:49:23.000,1,obytes,0
2026-05-13 21:49:23.000,1,opackets,0
2026-05-13 21:49:23.000,1,rx_nombuf,0
2026-05-13 21:49:23.000,1,ipackets,60474378
2026-05-13 21:49:23.000,1,ierrors,0
2026-05-13 21:49:23.000,1,ibytes,3628462842
2026-05-13 21:49:23.000,0,oerrors,0
2026-05-13 21:49:23.000,0,imissed,0
2026-05-13 21:49:23.000,0,obytes,0
2026-05-13 21:49:23.000,0,opackets,0
2026-05-13 21:49:23.000,0,rx_nombuf,0
2026-05-13 21:49:23.000,0,ipackets,3
2026-05-13 21:49:23.000,0,ierrors,0
2026-05-13 21:49:23.000,0,ibytes,814
2026-05-13 21:49:23.000,n,Value,2
2026-05-13 21:49:24.000,1,oerrors,0
2026-05-13 21:49:24.000,1,imissed,0
2026-05-13 21:49:24.000,1,obytes,0
2026-05-13 21:49:24.000,1,opackets,0
2026-05-13 21:49:24.000,1,rx_nombuf,0
2026-05-13 21:49:24.000,1,ipackets,67371155
2026-05-13 21:49:24.000,1,ierrors,0
2026-05-13 21:49:24.000,1,ibytes,4042269398
2026-05-13 21:49:24.000,0,oerrors,0
2026-05-13 21:49:24.000,0,imissed,0
2026-05-13 21:49:24.000,0,obytes,0
2026-05-13 21:49:24.000,0,opackets,0
2026-05-13 21:49:24.000,0,rx_nombuf,0
2026-05-13 21:49:24.000,0,ipackets,3
2026-05-13 21:49:24.000,0,ierrors,0
2026-05-13 21:49:24.000,0,ibytes,814
2026-05-13 21:49:24.000,n,Value,2
2026-05-13 21:49:25.000,1,oerrors,0
2026-05-13 21:49:25.000,1,imissed,0
2026-05-13 21:49:25.000,1,obytes,0
2026-05-13 21:49:25.000,1,opackets,0
2026-05-13 21:49:25.000,1,rx_nombuf,0
2026-05-13 21:49:25.000,1,ipackets,75693501
2026-05-13 21:49:25.000,1,ierrors,0
2026-05-13 21:49:25.000,1,ibytes,4541610286
2026-05-13 21:49:25.000,0,oerrors,0
2026-05-13 21:49:25.000,0,imissed,0
2026-05-13 21:49:25.000,0,obytes,0
2026-05-13 21:49:25.000,0,opackets,0
2026-05-13 21:49:25.000,0,rx_nombuf,0
2026-05-13 21:49:25.000,0,ipackets,3
2026-05-13 21:49:25.000,0,ierrors,0
2026-05-13 21:49:25.000,0,ibytes,814
2026-05-13 21:49:25.000,n,Value,2
2026-05-13 21:49:26.000,1,oerrors,0
2026-05-13 21:49:26.000,1,imissed,0
2026-05-13 21:49:26.000,1,obytes,0
2026-05-13 21:49:26.000,1,opackets,0
2026-05-13 21:49:26.000,1,rx_nombuf,0
2026-05-13 21:49:26.000,1,ipackets,83942095
2026-05-13 21:49:26.000,1,ierrors,0
2026-05-13 21:49:26.000,1,ibytes,5036525926
2026-05-13 21:49:26.000,0,oerrors,0
2026-05-13 21:49:26.000,0,imissed,0
2026-05-13 21:49:26.000,0,obytes,0
2026-05-13 21:49:26.000,0,opackets,0
2026-05-13 21:49:26.000,0,rx_nombuf,0
2026-05-13 21:49:26.000,0,ipackets,3
2026-05-13 21:49:26.000,0,ierrors,0
2026-05-13 21:49:26.000,0,ibytes,814
2026-05-13 21:49:26.000,n,Value,2
2026-05-13 21:49:27.000,1,oerrors,0
2026-05-13 21:49:27.000,1,imissed,0
2026-05-13 21:49:27.000,1,obytes,0
2026-05-13 21:49:27.000,1,opackets,0
2026-05-13 21:49:27.000,1,rx_nombuf,0
2026-05-13 21:49:27.000,1,ipackets,92151111
2026-05-13 21:49:27.000,1,ierrors,0
2026-05-13 21:49:27.000,1,ibytes,5529065542
2026-05-13 21:49:27.000,0,oerrors,0
2026-05-13 21:49:27.000,0,imissed,0
2026-05-13 21:49:27.000,0,obytes,0
2026-05-13 21:49:27.000,0,opackets,0
2026-05-13 21:49:27.000,0,rx_nombuf,0
2026-05-13 21:49:27.000,0,ipackets,3
2026-05-13 21:49:27.000,0,ierrors,0
2026-05-13 21:49:27.000,0,ibytes,814
2026-05-13 21:49:27.000,n,Value,2
2026-05-13 21:49:28.000,1,oerrors,0
2026-05-13 21:49:28.000,1,imissed,0
2026-05-13 21:49:28.000,1,obytes,0
2026-05-13 21:49:28.000,1,opackets,0
2026-05-13 21:49:28.000,1,rx_nombuf,0
2026-05-13 21:49:28.000,1,ipackets,100362661
2026-05-13 21:49:28.000,1,ierrors,0
2026-05-13 21:49:28.000,1,ibytes,6021759694
2026-05-13 21:49:28.000,0,oerrors,0
2026-05-13 21:49:28.000,0,imissed,0
2026-05-13 21:49:28.000,0,obytes,0
2026-05-13 21:49:28.000,0,opackets,0
2026-05-13 21:49:28.000,0,rx_nombuf,0
2026-05-13 21:49:28.000,0,ipackets,3
2026-05-13 21:49:28.000,0,ierrors,0
2026-05-13 21:49:28.000,0,ibytes,814
2026-05-13 21:49:28.000,n,Value,2
2026-05-13 21:49:29.000,1,oerrors,0
2026-05-13 21:49:29.000,1,imissed,0
2026-05-13 21:49:29.000,1,obytes,0
2026-05-13 21:49:29.000,1,opackets,0
2026-05-13 21:49:29.000,1,rx_nombuf,0
2026-05-13 21:49:29.000,1,ipackets,108537411
2026-05-13 21:49:29.000,1,ierrors,0
2026-05-13 21:49:29.000,1,ibytes,6512244310
2026-05-13 21:49:29.000,0,oerrors,0
2026-05-13 21:49:29.000,0,imissed,0
2026-05-13 21:49:29.000,0,obytes,0
2026-05-13 21:49:29.000,0,opackets,0
2026-05-13 21:49:29.000,0,rx_nombuf,0
2026-05-13 21:49:29.000,0,ipackets,3
2026-05-13 21:49:29.000,0,ierrors,0
2026-05-13 21:49:29.000,0,ibytes,814
2026-05-13 21:49:29.000,n,Value,2
2026-05-13 21:49:30.000,1,oerrors,0
2026-05-13 21:49:30.000,1,imissed,0
2026-05-13 21:49:30.000,1,obytes,0
2026-05-13 21:49:30.000,1,opackets,0
2026-05-13 21:49:30.000,1,rx_nombuf,0
2026-05-13 21:49:30.000,1,ipackets,116615657
2026-05-13 21:49:30.000,1,ierrors,0
2026-05-13 21:49:30.000,1,ibytes,6996939454
2026-05-13 21:49:30.000,0,oerrors,0
2026-05-13 21:49:30.000,0,imissed,0
2026-05-13 21:49:30.000,0,obytes,0
2026-05-13 21:49:30.000,0,opackets,0
2026-05-13 21:49:30.000,0,rx_nombuf,0
2026-05-13 21:49:30.000,0,ipackets,3
2026-05-13 21:49:30.000,0,ierrors,0
2026-05-13 21:49:30.000,0,ibytes,814
2026-05-13 21:49:30.000,n,Value,2
2026-05-13 21:49:31.000,1,oerrors,0
2026-05-13 21:49:31.000,1,imissed,0
2026-05-13 21:49:31.000,1,obytes,0
2026-05-13 21:49:31.000,1,opackets,0
2026-05-13 21:49:31.000,1,rx_nombuf,0
2026-05-13 21:49:31.000,1,ipackets,124011271
2026-05-13 21:49:31.000,1,ierrors,0
2026-05-13 21:49:31.000,1,ibytes,7440676422
2026-05-13 21:49:31.000,0,oerrors,0
2026-05-13 21:49:31.000,0,imissed,0
2026-05-13 21:49:31.000,0,obytes,0
2026-05-13 21:49:31.000,0,opackets,0
2026-05-13 21:49:31.000,0,rx_nombuf,0
2026-05-13 21:49:31.000,0,ipackets,3
2026-05-13 21:49:31.000,0,ierrors,0
2026-05-13 21:49:31.000,0,ibytes,814
2026-05-13 21:49:31.000,n,Value,2
2026-05-13 21:49:33.000,1,oerrors,0
2026-05-13 21:49:33.000,1,imissed,0
2026-05-13 21:49:33.000,1,obytes,0
2026-05-13 21:49:33.000,1,opackets,0
2026-05-13 21:49:33.000,1,rx_nombuf,0
2026-05-13 21:49:33.000,1,ipackets,130855876
2026-05-13 21:49:33.000,1,ierrors,0
2026-05-13 21:49:33.000,1,ibytes,7851352530
2026-05-13 21:49:33.000,0,oerrors,0
2026-05-13 21:49:33.000,0,imissed,0
2026-05-13 21:49:33.000,0,obytes,0
2026-05-13 21:49:33.000,0,opackets,0
2026-05-13 21:49:33.000,0,rx_nombuf,0
2026-05-13 21:49:33.000,0,ipackets,3
2026-05-13 21:49:33.000,0,ierrors,0
2026-05-13 21:49:33.000,0,ibytes,814
2026-05-13 21:49:33.000,n,Value,2
2026-05-13 21:49:34.000,1,oerrors,0
2026-05-13 21:49:34.000,1,imissed,0
2026-05-13 21:49:34.000,1,obytes,0
2026-05-13 21:49:34.000,1,opackets,0
2026-05-13 21:49:34.000,1,rx_nombuf,0
2026-05-13 21:49:34.000,1,ipackets,137751543
2026-05-13 21:49:34.000,1,ierrors,0
2026-05-13 21:49:34.000,1,ibytes,8265092614
2026-05-13 21:49:34.000,0,oerrors,0
2026-05-13 21:49:34.000,0,imissed,0
2026-05-13 21:49:34.000,0,obytes,0
2026-05-13 21:49:34.000,0,opackets,0
2026-05-13 21:49:34.000,0,rx_nombuf,0
2026-05-13 21:49:34.000,0,ipackets,3
2026-05-13 21:49:34.000,0,ierrors,0
2026-05-13 21:49:34.000,0,ibytes,814
2026-05-13 21:49:34.000,n,Value,2
