Linux 6.8.0-111-generic (testbed-node6) 	13/05/26 	_x86_64_	(24 CPU)

18:42:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:42:59     all    0,58    0,00    0,29    0,00    0,00   21,07    0,00    0,00    0,00   78,06
18:42:59       0    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:42:59       1    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
18:42:59       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59       3    0,00    0,00    0,00    0,00    0,00   70,59    0,00    0,00    0,00   29,41
18:42:59       4    0,00    0,00    0,00    0,00    0,00   88,35    0,00    0,00    0,00   11,65
18:42:59       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59       6    6,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   93,00
18:42:59       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59       8    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59       9    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59      10    0,00    0,00    0,00    0,00    0,00   59,41    0,00    0,00    0,00   40,59
18:42:59      11    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59      12    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59      13    0,00    0,00    0,00    0,00    0,00   59,79    0,00    0,00    0,00   40,21
18:42:59      14    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00
18:42:59      15    0,00    0,00    1,01    0,00    0,00   51,52    0,00    0,00    0,00   47,47
18:42:59      16    2,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
18:42:59      17    0,00    0,00    0,94    0,00    0,00   82,08    0,00    0,00    0,00   16,98
18:42:59      18    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
18:42:59      19    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59      20    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
18:42:59      21    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:42:59      22    0,00    0,00    0,00    0,00    0,00   84,76    0,00    0,00    0,00   15,24
18:42:59      23    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00

18:42:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:43:00     all    0,17    0,00    0,08    0,00    0,00   21,08    0,00    0,00    0,00   78,67
18:43:00       0    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:43:00       1    3,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
18:43:00       2    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
18:43:00       3    0,00    0,00    0,00    0,00    0,00   73,53    0,00    0,00    0,00   26,47
