Time,Port,Metric,Value
2026-05-13 19:19:33.000,1,ibytes,538
2026-05-13 19:19:33.000,1,ipackets,2
2026-05-13 19:19:33.000,1,obytes,0
2026-05-13 19:19:33.000,1,imissed,0
2026-05-13 19:19:33.000,1,ierrors,0
2026-05-13 19:19:33.000,1,rx_nombuf,0
2026-05-13 19:19:33.000,1,oerrors,0
2026-05-13 19:19:33.000,1,opackets,0
2026-05-13 19:19:33.000,0,ibytes,0
2026-05-13 19:19:33.000,0,ipackets,0
2026-05-13 19:19:33.000,0,obytes,0
2026-05-13 19:19:33.000,0,imissed,0
2026-05-13 19:19:33.000,0,ierrors,0
2026-05-13 19:19:33.000,0,rx_nombuf,0
2026-05-13 19:19:33.000,0,oerrors,0
2026-05-13 19:19:33.000,0,opackets,0
2026-05-13 19:19:33.000,n,Value,2
2026-05-13 19:19:34.000,1,ibytes,1226528578
2026-05-13 19:19:34.000,1,ipackets,19293317
2026-05-13 19:19:34.000,1,obytes,0
2026-05-13 19:19:34.000,1,imissed,1148851
2026-05-13 19:19:34.000,1,ierrors,0
2026-05-13 19:19:34.000,1,rx_nombuf,0
2026-05-13 19:19:34.000,1,oerrors,0
2026-05-13 19:19:34.000,1,opackets,0
2026-05-13 19:19:34.000,0,ibytes,0
2026-05-13 19:19:34.000,0,ipackets,0
2026-05-13 19:19:34.000,0,obytes,0
2026-05-13 19:19:34.000,0,imissed,0
2026-05-13 19:19:34.000,0,ierrors,0
2026-05-13 19:19:34.000,0,rx_nombuf,0
2026-05-13 19:19:34.000,0,oerrors,0
2026-05-13 19:19:34.000,0,opackets,0
2026-05-13 19:19:34.000,n,Value,2
2026-05-13 19:19:35.000,1,ibytes,2957898490
2026-05-13 19:19:35.000,1,ipackets,48138628
2026-05-13 19:19:35.000,1,obytes,0
2026-05-13 19:19:35.000,1,imissed,1159702
2026-05-13 19:19:35.000,1,ierrors,0
2026-05-13 19:19:35.000,1,rx_nombuf,0
2026-05-13 19:19:35.000,1,oerrors,0
2026-05-13 19:19:35.000,1,opackets,0
2026-05-13 19:19:35.000,0,ibytes,0
2026-05-13 19:19:35.000,0,ipackets,0
2026-05-13 19:19:35.000,0,obytes,439756900
2026-05-13 19:19:35.000,0,imissed,0
2026-05-13 19:19:35.000,0,ierrors,0
2026-05-13 19:19:35.000,0,rx_nombuf,0
2026-05-13 19:19:35.000,0,oerrors,0
2026-05-13 19:19:35.000,0,opackets,7329319
2026-05-13 19:19:35.000,n,Value,2
2026-05-13 19:19:36.000,1,ibytes,3925465234
2026-05-13 19:19:36.000,1,ipackets,64264734
2026-05-13 19:19:36.000,1,obytes,0
2026-05-13 19:19:36.000,1,imissed,1159702
2026-05-13 19:19:36.000,1,ierrors,0
2026-05-13 19:19:36.000,1,rx_nombuf,0
2026-05-13 19:19:36.000,1,oerrors,0
2026-05-13 19:19:36.000,1,opackets,0
2026-05-13 19:19:36.000,0,ibytes,273
2026-05-13 19:19:36.000,0,ipackets,1
2026-05-13 19:19:36.000,0,obytes,2662873788
2026-05-13 19:19:36.000,0,imissed,0
2026-05-13 19:19:36.000,0,ierrors,0
2026-05-13 19:19:36.000,0,rx_nombuf,0
2026-05-13 19:19:36.000,0,oerrors,0
2026-05-13 19:19:36.000,0,opackets,44381265
2026-05-13 19:19:36.000,n,Value,2
2026-05-13 19:19:37.000,1,ibytes,4893003598
2026-05-13 19:19:37.000,1,ipackets,80390351
2026-05-13 19:19:37.000,1,obytes,0
2026-05-13 19:19:37.000,1,imissed,1159702
2026-05-13 19:19:37.000,1,ierrors,0
2026-05-13 19:19:37.000,1,rx_nombuf,0
2026-05-13 19:19:37.000,1,oerrors,0
2026-05-13 19:19:37.000,1,opackets,0
2026-05-13 19:19:37.000,0,ibytes,273
2026-05-13 19:19:37.000,0,ipackets,1
2026-05-13 19:19:37.000,0,obytes,4885122424
2026-05-13 19:19:37.000,0,imissed,0
2026-05-13 19:19:37.000,0,ierrors,0
2026-05-13 19:19:37.000,0,rx_nombuf,0
2026-05-13 19:19:37.000,0,oerrors,0
2026-05-13 19:19:37.000,0,opackets,81418738
2026-05-13 19:19:37.000,n,Value,2
2026-05-13 19:19:38.000,1,ibytes,5856935998
2026-05-13 19:19:38.000,1,ipackets,96455891
2026-05-13 19:19:38.000,1,obytes,0
2026-05-13 19:19:38.000,1,imissed,1159702
2026-05-13 19:19:38.000,1,ierrors,0
2026-05-13 19:19:38.000,1,rx_nombuf,0
2026-05-13 19:19:38.000,1,oerrors,0
2026-05-13 19:19:38.000,1,opackets,0
2026-05-13 19:19:38.000,0,ibytes,273
2026-05-13 19:19:38.000,0,ipackets,1
2026-05-13 19:19:38.000,0,obytes,7110730428
2026-05-13 19:19:38.000,0,imissed,0
2026-05-13 19:19:38.000,0,ierrors,0
2026-05-13 19:19:38.000,0,rx_nombuf,0
2026-05-13 19:19:38.000,0,oerrors,0
2026-05-13 19:19:38.000,0,opackets,118512209
2026-05-13 19:19:38.000,n,Value,2
2026-05-13 19:19:39.000,1,ibytes,7786377674
2026-05-13 19:19:39.000,1,ipackets,128613264
2026-05-13 19:19:39.000,1,obytes,0
2026-05-13 19:19:39.000,1,imissed,1159702
2026-05-13 19:19:39.000,1,ierrors,0
2026-05-13 19:19:39.000,1,rx_nombuf,0
2026-05-13 19:19:39.000,1,oerrors,0
2026-05-13 19:19:39.000,1,opackets,0
2026-05-13 19:19:39.000,0,ibytes,273
2026-05-13 19:19:39.000,0,ipackets,1
2026-05-13 19:19:39.000,0,obytes,11572127164
2026-05-13 19:19:39.000,0,imissed,0
2026-05-13 19:19:39.000,0,ierrors,0
2026-05-13 19:19:39.000,0,rx_nombuf,0
2026-05-13 19:19:39.000,0,oerrors,0
2026-05-13 19:19:39.000,0,opackets,192868817
2026-05-13 19:19:39.000,n,Value,2
2026-05-13 19:19:40.000,1,ibytes,8750233738
2026-05-13 19:19:40.000,1,ipackets,144677520
2026-05-13 19:19:40.000,1,obytes,0
2026-05-13 19:19:40.000,1,imissed,1159702
2026-05-13 19:19:40.000,1,ierrors,0
2026-05-13 19:19:40.000,1,rx_nombuf,0
2026-05-13 19:19:40.000,1,oerrors,0
2026-05-13 19:19:40.000,1,opackets,0
2026-05-13 19:19:40.000,0,ibytes,273
2026-05-13 19:19:40.000,0,ipackets,1
2026-05-13 19:19:40.000,0,obytes,13804013516
2026-05-13 19:19:40.000,0,imissed,0
2026-05-13 19:19:40.000,0,ierrors,0
2026-05-13 19:19:40.000,0,rx_nombuf,0
2026-05-13 19:19:40.000,0,oerrors,0
2026-05-13 19:19:40.000,0,opackets,230066925
2026-05-13 19:19:40.000,n,Value,2
2026-05-13 19:19:41.000,1,ibytes,9712530910
2026-05-13 19:19:41.000,1,ipackets,160715835
2026-05-13 19:19:41.000,1,obytes,0
2026-05-13 19:19:41.000,1,imissed,1159702
2026-05-13 19:19:41.000,1,ierrors,0
2026-05-13 19:19:41.000,1,rx_nombuf,0
2026-05-13 19:19:41.000,1,oerrors,0
2026-05-13 19:19:41.000,1,opackets,0
2026-05-13 19:19:41.000,0,ibytes,273
2026-05-13 19:19:41.000,0,ipackets,1
2026-05-13 19:19:41.000,0,obytes,16036223196
2026-05-13 19:19:41.000,0,imissed,0
2026-05-13 19:19:41.000,0,ierrors,0
2026-05-13 19:19:41.000,0,rx_nombuf,0
2026-05-13 19:19:41.000,0,oerrors,0
2026-05-13 19:19:41.000,0,opackets,267270425
2026-05-13 19:19:41.000,n,Value,2
2026-05-13 19:19:42.000,1,ibytes,10677937558
