Time,Port,Metric,Value
2026-05-13 19:20:49.000,0,imissed,0
2026-05-13 19:20:49.000,0,obytes,0
2026-05-13 19:20:49.000,0,rx_nombuf,0
2026-05-13 19:20:49.000,0,ibytes,810
2026-05-13 19:20:49.000,0,oerrors,0
2026-05-13 19:20:49.000,0,opackets,0
2026-05-13 19:20:49.000,0,ierrors,0
2026-05-13 19:20:49.000,0,ipackets,3
2026-05-13 19:20:49.000,n,Value,1
2026-05-13 19:20:50.000,0,imissed,0
2026-05-13 19:20:50.000,0,obytes,1608559904
2026-05-13 19:20:50.000,0,rx_nombuf,0
2026-05-13 19:20:50.000,0,ibytes,810
2026-05-13 19:20:50.000,0,oerrors,73
2026-05-13 19:20:50.000,0,opackets,26809368
2026-05-13 19:20:50.000,0,ierrors,0
2026-05-13 19:20:50.000,0,ipackets,3
2026-05-13 19:20:50.000,n,Value,1
2026-05-13 19:20:51.000,0,imissed,0
2026-05-13 19:20:51.000,0,obytes,3840300520
2026-05-13 19:20:51.000,0,rx_nombuf,0
2026-05-13 19:20:51.000,0,ibytes,810
2026-05-13 19:20:51.000,0,oerrors,173
2026-05-13 19:20:51.000,0,opackets,64005046
2026-05-13 19:20:51.000,0,ierrors,0
2026-05-13 19:20:51.000,0,ipackets,3
2026-05-13 19:20:51.000,n,Value,1
2026-05-13 19:20:52.000,0,imissed,0
2026-05-13 19:20:52.000,0,obytes,6072484600
2026-05-13 19:20:52.000,0,rx_nombuf,0
2026-05-13 19:20:52.000,0,ibytes,810
2026-05-13 19:20:52.000,0,oerrors,273
2026-05-13 19:20:52.000,0,opackets,101208114
2026-05-13 19:20:52.000,0,ierrors,0
2026-05-13 19:20:52.000,0,ipackets,3
2026-05-13 19:20:52.000,n,Value,1
2026-05-13 19:20:53.000,0,imissed,0
2026-05-13 19:20:53.000,0,obytes,8303577520
2026-05-13 19:20:53.000,0,rx_nombuf,0
2026-05-13 19:20:53.000,0,ibytes,810
2026-05-13 19:20:53.000,0,oerrors,372
2026-05-13 19:20:53.000,0,opackets,138392996
2026-05-13 19:20:53.000,0,ierrors,0
2026-05-13 19:20:53.000,0,ipackets,3
2026-05-13 19:20:53.000,n,Value,1
2026-05-13 19:20:54.000,0,imissed,0
2026-05-13 19:20:54.000,0,obytes,10535769888
2026-05-13 19:20:54.000,0,rx_nombuf,0
