Time,Port,Metric,Value
2026-05-18 13:22:38.000,0,ibytes,1143
2026-05-18 13:22:38.000,0,imissed,0
2026-05-18 13:22:38.000,0,obytes,0
2026-05-18 13:22:38.000,0,opackets,0
2026-05-18 13:22:38.000,0,ierrors,0
2026-05-18 13:22:38.000,0,ipackets,4
2026-05-18 13:22:38.000,0,rx_nombuf,0
2026-05-18 13:22:38.000,0,oerrors,0
2026-05-18 13:22:38.000,n,Value,1
2026-05-18 13:22:39.000,0,ibytes,1143
2026-05-18 13:22:39.000,0,imissed,0
2026-05-18 13:22:39.000,0,obytes,1198077324
2026-05-18 13:22:39.000,0,opackets,19967997
2026-05-18 13:22:39.000,0,ierrors,0
2026-05-18 13:22:39.000,0,ipackets,4
2026-05-18 13:22:39.000,0,rx_nombuf,0
2026-05-18 13:22:39.000,0,oerrors,54
2026-05-18 13:22:39.000,n,Value,1
2026-05-18 13:22:40.000,0,ibytes,1143
2026-05-18 13:22:40.000,0,imissed,0
2026-05-18 13:22:40.000,0,obytes,3430270728
2026-05-18 13:22:40.000,0,opackets,57171214
2026-05-18 13:22:40.000,0,ierrors,0
2026-05-18 13:22:40.000,0,ipackets,4
2026-05-18 13:22:40.000,0,rx_nombuf,0
2026-05-18 13:22:40.000,0,oerrors,154
2026-05-18 13:22:40.000,n,Value,1
2026-05-18 13:22:41.000,0,ibytes,1143
2026-05-18 13:22:41.000,0,imissed,0
2026-05-18 13:22:41.000,0,obytes,5662463500
2026-05-18 13:22:41.000,0,opackets,94374429
2026-05-18 13:22:41.000,0,ierrors,0
2026-05-18 13:22:41.000,0,ipackets,4
2026-05-18 13:22:41.000,0,rx_nombuf,0
2026-05-18 13:22:41.000,0,oerrors,254
2026-05-18 13:22:41.000,n,Value,1
2026-05-18 13:22:42.000,0,ibytes,1476
2026-05-18 13:22:42.000,0,imissed,0
2026-05-18 13:22:42.000,0,obytes,7894656644
2026-05-18 13:22:42.000,0,opackets,131577647
2026-05-18 13:22:42.000,0,ierrors,0
2026-05-18 13:22:42.000,0,ipackets,5
2026-05-18 13:22:42.000,0,rx_nombuf,0
2026-05-18 13:22:42.000,0,oerrors,354
2026-05-18 13:22:42.000,n,Value,1
2026-05-18 13:22:43.000,0,ibytes,1476
2026-05-18 13:22:43.000,0,imissed,0
2026-05-18 13:22:43.000,0,obytes,10126849784
2026-05-18 13:22:43.000,0,opackets,168780866
