Time,Port,Metric,Value
2026-05-18 13:24:51.000,0,imissed,0
2026-05-18 13:24:51.000,0,rx_nombuf,0
2026-05-18 13:24:51.000,0,oerrors,0
2026-05-18 13:24:51.000,0,ipackets,3
2026-05-18 13:24:51.000,0,ibytes,871
2026-05-18 13:24:51.000,0,opackets,0
2026-05-18 13:24:51.000,0,obytes,0
2026-05-18 13:24:51.000,0,ierrors,0
2026-05-18 13:24:51.000,n,Value,1
2026-05-18 13:24:52.000,0,imissed,0
2026-05-18 13:24:52.000,0,rx_nombuf,0
2026-05-18 13:24:52.000,0,oerrors,0
2026-05-18 13:24:52.000,0,ipackets,3
2026-05-18 13:24:52.000,0,ibytes,871
2026-05-18 13:24:52.000,0,opackets,0
2026-05-18 13:24:52.000,0,obytes,0
2026-05-18 13:24:52.000,0,ierrors,0
2026-05-18 13:24:52.000,n,Value,1
2026-05-18 13:24:53.000,0,imissed,0
2026-05-18 13:24:53.000,0,rx_nombuf,0
2026-05-18 13:24:53.000,0,oerrors,0
2026-05-18 13:24:53.000,0,ipackets,3
2026-05-18 13:24:53.000,0,ibytes,871
2026-05-18 13:24:53.000,0,opackets,0
2026-05-18 13:24:53.000,0,obytes,0
2026-05-18 13:24:53.000,0,ierrors,0
2026-05-18 13:24:53.000,n,Value,1
2026-05-18 13:24:54.000,0,imissed,0
2026-05-18 13:24:54.000,0,rx_nombuf,0
2026-05-18 13:24:54.000,0,oerrors,0
2026-05-18 13:24:54.000,0,ipackets,3
2026-05-18 13:24:54.000,0,ibytes,871
2026-05-18 13:24:54.000,0,opackets,0
2026-05-18 13:24:54.000,0,obytes,0
2026-05-18 13:24:54.000,0,ierrors,0
2026-05-18 13:24:54.000,n,Value,1
2026-05-18 13:24:55.000,0,imissed,0
2026-05-18 13:24:55.000,0,rx_nombuf,0
2026-05-18 13:24:55.000,0,oerrors,0
2026-05-18 13:24:55.000,0,ipackets,4
2026-05-18 13:24:55.000,0,ibytes,1204
2026-05-18 13:24:55.000,0,opackets,0
2026-05-18 13:24:55.000,0,obytes,0
2026-05-18 13:24:55.000,0,ierrors,0
2026-05-18 13:24:55.000,n,Value,1
2026-05-18 13:24:56.000,0,imissed,0
2026-05-18 13:24:56.000,0,rx_nombuf,0
2026-05-18 13:24:56.000,0,oerrors,0
2026-05-18 13:24:56.000,0,ipackets,4
2026-05-18 13:24:56.000,0,ibytes,1204
2026-05-18 13:24:56.000,0,opackets,0
2026-05-18 13:24:56.000,0,obytes,0
2026-05-18 13:24:56.000,0,ierrors,0
2026-05-18 13:24:56.000,n,Value,1
2026-05-18 13:24:57.000,0,imissed,0
2026-05-18 13:24:57.000,0,rx_nombuf,0
2026-05-18 13:24:57.000,0,oerrors,0
2026-05-18 13:24:57.000,0,ipackets,4
