Time,Port,Metric,Value
2026-05-14 21:48:33.000,0,obytes,0
2026-05-14 21:48:33.000,0,ipackets,3
2026-05-14 21:48:33.000,0,oerrors,0
2026-05-14 21:48:33.000,0,opackets,0
2026-05-14 21:48:33.000,0,ierrors,0
2026-05-14 21:48:33.000,0,rx_nombuf,0
2026-05-14 21:48:33.000,0,imissed,0
2026-05-14 21:48:33.000,0,ibytes,810
2026-05-14 21:48:33.000,n,Value,1
2026-05-14 21:48:34.000,0,obytes,535200644
2026-05-14 21:48:34.000,0,ipackets,3
2026-05-14 21:48:34.000,0,oerrors,24
2026-05-14 21:48:34.000,0,opackets,8920047
2026-05-14 21:48:34.000,0,ierrors,0
2026-05-14 21:48:34.000,0,rx_nombuf,0
2026-05-14 21:48:34.000,0,imissed,0
2026-05-14 21:48:34.000,0,ibytes,810
2026-05-14 21:48:34.000,n,Value,1
2026-05-14 21:48:35.000,0,obytes,2767390900
2026-05-14 21:48:35.000,0,ipackets,3
2026-05-14 21:48:35.000,0,oerrors,124
2026-05-14 21:48:35.000,0,opackets,46123219
2026-05-14 21:48:35.000,0,ierrors,0
2026-05-14 21:48:35.000,0,rx_nombuf,0
2026-05-14 21:48:35.000,0,imissed,0
2026-05-14 21:48:35.000,0,ibytes,810
2026-05-14 21:48:35.000,n,Value,1
2026-05-14 21:48:36.000,0,obytes,4999580856
2026-05-14 21:48:36.000,0,ipackets,3
2026-05-14 21:48:36.000,0,oerrors,224
2026-05-14 21:48:36.000,0,opackets,83326386
2026-05-14 21:48:36.000,0,ierrors,0
2026-05-14 21:48:36.000,0,rx_nombuf,0
2026-05-14 21:48:36.000,0,imissed,0
2026-05-14 21:48:36.000,0,ibytes,810
2026-05-14 21:48:36.000,n,Value,1
2026-05-14 21:48:37.000,0,obytes,7231771304
2026-05-14 21:48:37.000,0,ipackets,3
2026-05-14 21:48:37.000,0,oerrors,324
2026-05-14 21:48:37.000,0,opackets,120529558
2026-05-14 21:48:37.000,0,ierrors,0
2026-05-14 21:48:37.000,0,rx_nombuf,0
2026-05-14 21:48:37.000,0,imissed,0
2026-05-14 21:48:37.000,0,ibytes,810
2026-05-14 21:48:37.000,n,Value,1
2026-05-14 21:48:38.000,0,obytes,9463962092
2026-05-14 21:48:38.000,0,ipackets,3
2026-05-14 21:48:38.000,0,oerrors,424
2026-05-14 21:48:38.000,0,opackets,157732741
2026-05-14 21:48:38.000,0,ierrors,0
2026-05-14 21:48:38.000,0,rx_nombuf,0
2026-05-14 21:48:38.000,0,imissed,0
2026-05-14 21:48:38.000,0,ibytes,810
2026-05-14 21:48:38.000,n,Value,1
2026-05-14 21:48:39.000,0,obytes,11696152004
2026-05-14 21:48:39.000,0,ipackets,3
2026-05-14 21:48:39.000,0,oerrors,524
2026-05-14 21:48:39.000,0,opackets,194935903
2026-05-14 21:48:39.000,0,ierrors,0
2026-05-14 21:48:39.000,0,rx_nombuf,0
2026-05-14 21:48:39.000,0,imissed,0
2026-05-14 21:48:39.000,0,ibytes,810
2026-05-14 21:48:39.000,n,Value,1
2026-05-14 21:48:40.000,0,obytes,13928342132
2026-05-14 21:48:40.000,0,ipackets,3
2026-05-14 21:48:40.000,0,oerrors,624
2026-05-14 21:48:40.000,0,opackets,232139075
2026-05-14 21:48:40.000,0,ierrors,0
2026-05-14 21:48:40.000,0,rx_nombuf,0
2026-05-14 21:48:40.000,0,imissed,0
2026-05-14 21:48:40.000,0,ibytes,810
2026-05-14 21:48:40.000,n,Value,1
2026-05-14 21:48:41.000,0,obytes,16160532764
2026-05-14 21:48:41.000,0,ipackets,3
