experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
Kernel_1024-1024_Port_No_Block_15_41_rep1,1,15_41,1,37203360,1191015,96.8
Kernel_1024-1024_Port_No_Block_15_41_rep2,1,15_41,2,37203375,1181323,96.82
Kernel_1024-1024_Port_No_Block_15_41_rep3,1,15_41,3,37203370,1180713,96.83
Kernel_1024-1024_Port_No_Block_15_rep1,1,15,1,37203209,1192187,96.8
Kernel_1024-1024_Port_No_Block_15_rep2,1,15,2,37203148,1182095,96.82
Kernel_1024-1024_Port_No_Block_15_rep3,1,15,3,37203299,1180693,96.83
Kernel_1024-1024_Port_No_Block_41_rep1,1,41,1,37203194,0,100.0
Kernel_1024-1024_Port_No_Block_41_rep1_v2,1,41,1,37203188,0,100.0
Kernel_1024-1024_Port_No_Block_41_rep2,1,41,2,37203153,0,100.0
Kernel_1024-1024_Port_No_Block_41_rep3,1,41,3,37203171,0,100.0
Kernel_1024-1025_Port_No_Block_15_41_rep1,2,15_41,1,37203365,2367623,93.64
Kernel_1024-1025_Port_No_Block_15_41_rep2,2,15_41,2,37200029,2281301,93.87
Kernel_1024-1025_Port_No_Block_15_41_rep3,2,15_41,3,37203380,2369468,93.63
Kernel_1024-1025_Port_No_Block_15_rep1,2,15,1,37203269,2371579,93.63
Kernel_1024-1025_Port_No_Block_15_rep2,2,15,2,37203351,2371030,93.63
Kernel_1024-1025_Port_No_Block_15_rep3,2,15,3,37203360,2377857,93.61
Kernel_1024-1025_Port_No_Block_41_rep1,2,41,1,37203185,0,100.0
Kernel_1024-1025_Port_No_Block_41_rep2,2,41,2,37200163,0,100.0
Kernel_1024-1025_Port_No_Block_41_rep3,2,41,3,37200116,0,100.0
Kernel_1024-1026_Port_No_Block_15_41_rep1,3,15_41,1,37203370,3041848,91.82
Kernel_1024-1026_Port_No_Block_15_41_rep2,3,15_41,2,37203363,3064629,91.76
Kernel_1024-1026_Port_No_Block_15_41_rep3,3,15_41,3,37203390,2750689,92.61
Kernel_1024-1026_Port_No_Block_15_rep1,3,15,1,37203370,3214708,91.36
Kernel_1024-1026_Port_No_Block_15_rep2,3,15,2,37203324,3204625,91.39
Kernel_1024-1026_Port_No_Block_15_rep3,3,15,3,37203362,3204860,91.39
Kernel_1024-1026_Port_No_Block_41_rep1,3,41,1,37198712,0,100.0
Kernel_1024-1026_Port_No_Block_41_rep2,3,41,2,37200017,0,100.0
Kernel_1024-1026_Port_No_Block_41_rep3,3,41,3,37197898,0,100.0
Kernel_1024-1027_Port_No_Block_15_41_rep1,4,15_41,1,37203386,3113594,91.63
Kernel_1024-1027_Port_No_Block_15_41_rep2,4,15_41,2,37203372,3123464,91.6
Kernel_1024-1027_Port_No_Block_15_41_rep3,4,15_41,3,37203291,3274738,91.2
Kernel_1024-1027_Port_No_Block_15_rep1,4,15,1,37203367,3470979,90.67
Kernel_1024-1027_Port_No_Block_15_rep2,4,15,2,37203381,3459698,90.7
Kernel_1024-1027_Port_No_Block_15_rep3,4,15,3,37203362,3460945,90.7
Kernel_1024-1027_Port_No_Block_41_rep1,4,41,1,37203177,0,100.0
Kernel_1024-1027_Port_No_Block_41_rep2,4,41,2,37195781,0,100.0
Kernel_1024-1027_Port_No_Block_41_rep3,4,41,3,37196962,0,100.0
Kernel_1024-1028_Port_No_Block_15_41_rep1,5,15_41,1,37203256,3468853,90.68
Kernel_1024-1028_Port_No_Block_15_41_rep2,5,15_41,2,37203380,3473833,90.66
Kernel_1024-1028_Port_No_Block_15_41_rep3,5,15_41,3,37203291,3445957,90.74
Kernel_1024-1028_Port_No_Block_15_rep1,5,15,1,37203374,4529021,87.83
Kernel_1024-1028_Port_No_Block_15_rep2,5,15,2,37203368,4497736,87.91
Kernel_1024-1028_Port_No_Block_15_rep3,5,15,3,37203316,4503364,87.9
Kernel_1024-1028_Port_No_Block_41_rep1,5,41,1,37195973,0,100.0
Kernel_1024-1028_Port_No_Block_41_rep2,5,41,2,37196000,0,100.0
Kernel_1024-1028_Port_No_Block_41_rep3,5,41,3,37203180,0,100.0
Kernel_1024-1029_Port_No_Block_15_41_rep1,6,15_41,1,37203397,4353401,88.3
Kernel_1024-1029_Port_No_Block_15_41_rep2,6,15_41,2,37203395,4377550,88.23
Kernel_1024-1029_Port_No_Block_15_41_rep3,6,15_41,3,37203396,4366544,88.26
Kernel_1024-1029_Port_No_Block_15_rep1,6,15,1,37203005,5445276,85.36
Kernel_1024-1029_Port_No_Block_15_rep2,6,15,2,37203376,5540582,85.11
