Time,Port,Metric,Value
2026-05-13 20:40:25.000,1,opackets,0
2026-05-13 20:40:25.000,1,ierrors,0
2026-05-13 20:40:25.000,1,rx_nombuf,0
2026-05-13 20:40:25.000,1,oerrors,0
2026-05-13 20:40:25.000,1,imissed,0
2026-05-13 20:40:25.000,1,obytes,0
2026-05-13 20:40:25.000,1,ipackets,3
2026-05-13 20:40:25.000,1,ibytes,810
2026-05-13 20:40:25.000,0,opackets,0
2026-05-13 20:40:25.000,0,ierrors,0
2026-05-13 20:40:25.000,0,rx_nombuf,0
2026-05-13 20:40:25.000,0,oerrors,0
2026-05-13 20:40:25.000,0,imissed,0
2026-05-13 20:40:25.000,0,obytes,0
2026-05-13 20:40:25.000,0,ipackets,0
2026-05-13 20:40:25.000,0,ibytes,0
2026-05-13 20:40:25.000,n,Value,2
2026-05-13 20:40:26.000,1,opackets,0
2026-05-13 20:40:26.000,1,ierrors,0
2026-05-13 20:40:26.000,1,rx_nombuf,0
2026-05-13 20:40:26.000,1,oerrors,0
2026-05-13 20:40:26.000,1,imissed,0
2026-05-13 20:40:26.000,1,obytes,0
2026-05-13 20:40:26.000,1,ipackets,1938191
2026-05-13 20:40:26.000,1,ibytes,116292090
2026-05-13 20:40:26.000,0,opackets,23660796
2026-05-13 20:40:26.000,0,ierrors,0
2026-05-13 20:40:26.000,0,rx_nombuf,0
2026-05-13 20:40:26.000,0,oerrors,0
2026-05-13 20:40:26.000,0,imissed,0
2026-05-13 20:40:26.000,0,obytes,1419645904
2026-05-13 20:40:26.000,0,ipackets,1
2026-05-13 20:40:26.000,0,ibytes,273
2026-05-13 20:40:26.000,n,Value,2
2026-05-13 20:40:27.000,1,opackets,0
2026-05-13 20:40:27.000,1,ierrors,0
2026-05-13 20:40:27.000,1,rx_nombuf,0
2026-05-13 20:40:27.000,1,oerrors,0
2026-05-13 20:40:27.000,1,imissed,0
2026-05-13 20:40:27.000,1,obytes,0
2026-05-13 20:40:27.000,1,ipackets,4810335
2026-05-13 20:40:27.000,1,ibytes,288620666
2026-05-13 20:40:27.000,0,opackets,60864222
2026-05-13 20:40:27.000,0,ierrors,0
2026-05-13 20:40:27.000,0,rx_nombuf,0
2026-05-13 20:40:27.000,0,oerrors,0
2026-05-13 20:40:27.000,0,imissed,0
2026-05-13 20:40:27.000,0,obytes,3651851080
2026-05-13 20:40:27.000,0,ipackets,1
2026-05-13 20:40:27.000,0,ibytes,273
2026-05-13 20:40:27.000,n,Value,2
2026-05-13 20:40:28.000,1,opackets,0
2026-05-13 20:40:28.000,1,ierrors,0
2026-05-13 20:40:28.000,1,rx_nombuf,0
2026-05-13 20:40:28.000,1,oerrors,0
2026-05-13 20:40:28.000,1,imissed,0
2026-05-13 20:40:28.000,1,obytes,0
2026-05-13 20:40:28.000,1,ipackets,7691630
2026-05-13 20:40:28.000,1,ibytes,461498430
2026-05-13 20:40:28.000,0,opackets,98036421
2026-05-13 20:40:28.000,0,ierrors,0
2026-05-13 20:40:28.000,0,rx_nombuf,0
2026-05-13 20:40:28.000,0,oerrors,0
2026-05-13 20:40:28.000,0,imissed,0
2026-05-13 20:40:28.000,0,obytes,5882183404
2026-05-13 20:40:28.000,0,ipackets,1
2026-05-13 20:40:28.000,0,ibytes,273
2026-05-13 20:40:28.000,n,Value,2
2026-05-13 20:40:29.000,1,opackets,0
2026-05-13 20:40:29.000,1,ierrors,0
2026-05-13 20:40:29.000,1,rx_nombuf,0
2026-05-13 20:40:29.000,1,oerrors,0
2026-05-13 20:40:29.000,1,imissed,0
2026-05-13 20:40:29.000,1,obytes,0
2026-05-13 20:40:29.000,1,ipackets,10420902
2026-05-13 20:40:29.000,1,ibytes,625254494
2026-05-13 20:40:29.000,0,opackets,135196387
2026-05-13 20:40:29.000,0,ierrors,0
2026-05-13 20:40:29.000,0,rx_nombuf,0
2026-05-13 20:40:29.000,0,oerrors,0
2026-05-13 20:40:29.000,0,imissed,0
2026-05-13 20:40:29.000,0,obytes,8111781236
2026-05-13 20:40:29.000,0,ipackets,1
2026-05-13 20:40:29.000,0,ibytes,273
2026-05-13 20:40:29.000,n,Value,2
2026-05-13 20:40:30.000,1,opackets,0
2026-05-13 20:40:30.000,1,ierrors,0
2026-05-13 20:40:30.000,1,rx_nombuf,0
2026-05-13 20:40:30.000,1,oerrors,0
2026-05-13 20:40:30.000,1,imissed,0
2026-05-13 20:40:30.000,1,obytes,0
2026-05-13 20:40:30.000,1,ipackets,13301934
2026-05-13 20:40:30.000,1,ibytes,798116606
2026-05-13 20:40:30.000,0,opackets,172314627
2026-05-13 20:40:30.000,0,ierrors,0
2026-05-13 20:40:30.000,0,rx_nombuf,0
2026-05-13 20:40:30.000,0,oerrors,0
2026-05-13 20:40:30.000,0,imissed,0
