Time,Port,Metric,Value
2026-05-13 21:50:28.000,1,rx_nombuf,0
2026-05-13 21:50:28.000,1,ierrors,0
2026-05-13 21:50:28.000,1,imissed,0
2026-05-13 21:50:28.000,1,oerrors,0
2026-05-13 21:50:28.000,1,opackets,0
2026-05-13 21:50:28.000,1,ibytes,183384532
2026-05-13 21:50:28.000,1,ipackets,3056416
2026-05-13 21:50:28.000,1,obytes,0
2026-05-13 21:50:28.000,0,rx_nombuf,0
2026-05-13 21:50:28.000,0,ierrors,0
2026-05-13 21:50:28.000,0,imissed,0
2026-05-13 21:50:28.000,0,oerrors,0
2026-05-13 21:50:28.000,0,opackets,0
2026-05-13 21:50:28.000,0,ibytes,0
2026-05-13 21:50:28.000,0,ipackets,0
2026-05-13 21:50:28.000,0,obytes,0
2026-05-13 21:50:28.000,n,Value,2
2026-05-13 21:50:29.000,1,rx_nombuf,0
2026-05-13 21:50:29.000,1,ierrors,0
2026-05-13 21:50:29.000,1,imissed,0
2026-05-13 21:50:29.000,1,oerrors,0
2026-05-13 21:50:29.000,1,opackets,0
2026-05-13 21:50:29.000,1,ibytes,696248626
2026-05-13 21:50:29.000,1,ipackets,11604145
2026-05-13 21:50:29.000,1,obytes,0
2026-05-13 21:50:29.000,0,rx_nombuf,0
2026-05-13 21:50:29.000,0,ierrors,0
2026-05-13 21:50:29.000,0,imissed,0
2026-05-13 21:50:29.000,0,oerrors,0
2026-05-13 21:50:29.000,0,opackets,0
2026-05-13 21:50:29.000,0,ibytes,814
2026-05-13 21:50:29.000,0,ipackets,3
2026-05-13 21:50:29.000,0,obytes,0
2026-05-13 21:50:29.000,n,Value,2
2026-05-13 21:50:30.000,1,rx_nombuf,0
2026-05-13 21:50:30.000,1,ierrors,0
2026-05-13 21:50:30.000,1,imissed,0
2026-05-13 21:50:30.000,1,oerrors,0
2026-05-13 21:50:30.000,1,opackets,0
2026-05-13 21:50:30.000,1,ibytes,1219705978
2026-05-13 21:50:30.000,1,ipackets,20328431
2026-05-13 21:50:30.000,1,obytes,0
2026-05-13 21:50:30.000,0,rx_nombuf,0
2026-05-13 21:50:30.000,0,ierrors,0
2026-05-13 21:50:30.000,0,imissed,0
2026-05-13 21:50:30.000,0,oerrors,0
2026-05-13 21:50:30.000,0,opackets,0
