experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
XDP_1024-1033_Port_No_Block_15,10,15,1,37203302,30180995,18.88
XDP_1024-1033_Port_No_Block_15_41,10,15_41,1,37203319,15797444,57.54
XDP_1024-1033_Port_No_Block_41,10,41,1,37203166,0,100.0
XDP_1024-1043_Port_No_Block_15,20,15,1,37203346,32257354,13.29
XDP_1024-1043_Port_No_Block_15_41,20,15_41,1,37203353,16175151,56.52
XDP_1024-1043_Port_No_Block_41,20,41,1,37203194,0,100.0
XDP_1024-1053_Port_No_Block_15,30,15,1,37203362,32698675,12.11
XDP_1024-1053_Port_No_Block_15_41,30,15_41,1,37203369,16434108,55.83
XDP_1024-1053_Port_No_Block_41,30,41,1,37203169,0,100.0
XDP_1024-1063_Port_No_Block_15,40,15,1,37203374,32573189,12.45
XDP_1024-1063_Port_No_Block_15_41,40,15_41,1,37203372,16289487,56.22
XDP_1024-1063_Port_No_Block_41,40,41,1,37203149,0,100.0
XDP_1024-1073_Port_No_Block_15,50,15,1,37203372,32212829,13.41
XDP_1024-1073_Port_No_Block_15_41,50,15_41,1,37203381,16253617,56.31
XDP_1024-1073_Port_No_Block_41,50,41,1,37203126,0,100.0
XDP_1024-1083_Port_No_Block_15,60,15,1,37203385,32702940,12.1
XDP_1024-1083_Port_No_Block_15_41,60,15_41,1,37203366,16309516,56.16
XDP_1024-1083_Port_No_Block_41,60,41,1,37202321,0,100.0
XDP_1024-1093_Port_No_Block_15,70,15,1,37203392,32534700,12.55
XDP_1024-1093_Port_No_Block_15_41,70,15_41,1,37203381,16374432,55.99
XDP_1024-1093_Port_No_Block_41,70,41,1,37203086,0,100.0
XDP_1024-1103_Port_No_Block_15,80,15,1,37203384,32739980,12.0
XDP_1024-1103_Port_No_Block_15_41,80,15_41,1,37203393,16332676,56.1
XDP_1024-1103_Port_No_Block_41,80,41,1,37180179,0,100.0
XDP_1024-1113_Port_No_Block_15,90,15,1,37203396,32651988,12.23
XDP_1024-1113_Port_No_Block_15_41,90,15_41,1,37203386,16336360,56.09
XDP_1024-1113_Port_No_Block_41,90,41,1,37195676,0,100.0
XDP_1024-1123_Port_No_Block_15,100,15,1,37203390,32216624,13.4
XDP_1024-1123_Port_No_Block_15_41,100,15_41,1,37203379,16009671,56.97
XDP_1024-1123_Port_No_Block_41,100,41,1,37132950,0,100.0
