Time,Port,Metric,Value
2026-05-13 20:20:16.000,0,rx_nombuf,0
2026-05-13 20:20:16.000,0,opackets,0
2026-05-13 20:20:16.000,0,obytes,0
2026-05-13 20:20:16.000,0,ipackets,2
2026-05-13 20:20:16.000,0,ibytes,538
2026-05-13 20:20:16.000,0,imissed,0
2026-05-13 20:20:16.000,0,oerrors,0
2026-05-13 20:20:16.000,0,ierrors,0
2026-05-13 20:20:16.000,n,Value,1
2026-05-13 20:20:17.000,0,rx_nombuf,0
2026-05-13 20:20:17.000,0,opackets,0
2026-05-13 20:20:17.000,0,obytes,0
2026-05-13 20:20:17.000,0,ipackets,2
2026-05-13 20:20:17.000,0,ibytes,538
2026-05-13 20:20:17.000,0,imissed,0
2026-05-13 20:20:17.000,0,oerrors,0
2026-05-13 20:20:17.000,0,ierrors,0
2026-05-13 20:20:17.000,n,Value,1
2026-05-13 20:20:18.000,0,rx_nombuf,0
2026-05-13 20:20:18.000,0,opackets,0
2026-05-13 20:20:18.000,0,obytes,0
2026-05-13 20:20:18.000,0,ipackets,863934
2026-05-13 20:20:18.000,0,ibytes,51836266
2026-05-13 20:20:18.000,0,imissed,0
2026-05-13 20:20:18.000,0,oerrors,0
2026-05-13 20:20:18.000,0,ierrors,0
2026-05-13 20:20:18.000,n,Value,1
2026-05-13 20:20:19.000,0,rx_nombuf,0
2026-05-13 20:20:19.000,0,opackets,0
2026-05-13 20:20:19.000,0,obytes,0
2026-05-13 20:20:19.000,0,ipackets,2042040
2026-05-13 20:20:19.000,0,ibytes,122522626
2026-05-13 20:20:19.000,0,imissed,0
2026-05-13 20:20:19.000,0,oerrors,0
2026-05-13 20:20:19.000,0,ierrors,0
2026-05-13 20:20:19.000,n,Value,1
2026-05-13 20:20:20.000,0,rx_nombuf,0
2026-05-13 20:20:20.000,0,opackets,0
2026-05-13 20:20:20.000,0,obytes,0
2026-05-13 20:20:20.000,0,ipackets,3214202
2026-05-13 20:20:20.000,0,ibytes,192852474
2026-05-13 20:20:20.000,0,imissed,0
2026-05-13 20:20:20.000,0,oerrors,0
2026-05-13 20:20:20.000,0,ierrors,0
2026-05-13 20:20:20.000,n,Value,1
2026-05-13 20:20:22.000,0,rx_nombuf,0
2026-05-13 20:20:22.000,0,opackets,0
2026-05-13 20:20:22.000,0,obytes,0
2026-05-13 20:20:22.000,0,ipackets,4392760
2026-05-13 20:20:22.000,0,ibytes,263565890
2026-05-13 20:20:22.000,0,imissed,0
2026-05-13 20:20:22.000,0,oerrors,0
2026-05-13 20:20:22.000,0,ierrors,0
2026-05-13 20:20:22.000,n,Value,1
2026-05-13 20:20:23.000,0,rx_nombuf,0
2026-05-13 20:20:23.000,0,opackets,0
2026-05-13 20:20:23.000,0,obytes,0
2026-05-13 20:20:23.000,0,ipackets,5574146
2026-05-13 20:20:23.000,0,ibytes,334449114
2026-05-13 20:20:23.000,0,imissed,0
2026-05-13 20:20:23.000,0,oerrors,0
2026-05-13 20:20:23.000,0,ierrors,0
2026-05-13 20:20:23.000,n,Value,1
2026-05-13 20:20:24.000,0,rx_nombuf,0
