Time,Port,Metric,Value
2026-05-13 21:37:27.000,0,ipackets,2
2026-05-13 21:37:27.000,0,imissed,0
2026-05-13 21:37:27.000,0,oerrors,12
2026-05-13 21:37:27.000,0,rx_nombuf,0
2026-05-13 21:37:27.000,0,ibytes,538
2026-05-13 21:37:27.000,0,ierrors,0
2026-05-13 21:37:27.000,0,opackets,4259024
2026-05-13 21:37:27.000,0,obytes,255539264
2026-05-13 21:37:27.000,n,Value,1
2026-05-13 21:37:28.000,0,ipackets,2
2026-05-13 21:37:28.000,0,imissed,0
2026-05-13 21:37:28.000,0,oerrors,112
2026-05-13 21:37:28.000,0,rx_nombuf,0
2026-05-13 21:37:28.000,0,ibytes,538
2026-05-13 21:37:28.000,0,ierrors,0
2026-05-13 21:37:28.000,0,opackets,41462249
2026-05-13 21:37:28.000,0,obytes,2487732572
2026-05-13 21:37:28.000,n,Value,1
2026-05-13 21:37:29.000,0,ipackets,2
2026-05-13 21:37:29.000,0,imissed,0
2026-05-13 21:37:29.000,0,oerrors,212
2026-05-13 21:37:29.000,0,rx_nombuf,0
2026-05-13 21:37:29.000,0,ibytes,538
2026-05-13 21:37:29.000,0,ierrors,0
2026-05-13 21:37:29.000,0,opackets,78665433
2026-05-13 21:37:29.000,0,obytes,4719923676
2026-05-13 21:37:29.000,n,Value,1
2026-05-13 21:37:30.000,0,ipackets,2
2026-05-13 21:37:30.000,0,imissed,0
2026-05-13 21:37:30.000,0,oerrors,312
2026-05-13 21:37:30.000,0,rx_nombuf,0
2026-05-13 21:37:30.000,0,ibytes,538
2026-05-13 21:37:30.000,0,ierrors,0
2026-05-13 21:37:30.000,0,opackets,115868634
2026-05-13 21:37:30.000,0,obytes,6952115864
2026-05-13 21:37:30.000,n,Value,1
2026-05-13 21:37:31.000,0,ipackets,2
2026-05-13 21:37:31.000,0,imissed,0
2026-05-13 21:37:31.000,0,oerrors,412
2026-05-13 21:37:31.000,0,rx_nombuf,0
2026-05-13 21:37:31.000,0,ibytes,538
2026-05-13 21:37:31.000,0,ierrors,0
2026-05-13 21:37:31.000,0,opackets,153071844
2026-05-13 21:37:31.000,0,obytes,9184308336
2026-05-13 21:37:31.000,n,Value,1
2026-05-13 21:37:32.000,0,ipackets,2
2026-05-13 21:37:32.000,0,imissed,0
2026-05-13 21:37:32.000,0,oerrors,512
2026-05-13 21:37:32.000,0,rx_nombuf,0
2026-05-13 21:37:32.000,0,ibytes,538
2026-05-13 21:37:32.000,0,ierrors,0
2026-05-13 21:37:32.000,0,opackets,190273513
2026-05-13 21:37:32.000,0,obytes,11416408476
2026-05-13 21:37:32.000,n,Value,1
2026-05-13 21:37:33.000,0,ipackets,2
2026-05-13 21:37:33.000,0,imissed,0
2026-05-13 21:37:33.000,0,oerrors,612
2026-05-13 21:37:33.000,0,rx_nombuf,0
2026-05-13 21:37:33.000,0,ibytes,538
2026-05-13 21:37:33.000,0,ierrors,0
2026-05-13 21:37:33.000,0,opackets,227476667
2026-05-13 21:37:33.000,0,obytes,13648597844
2026-05-13 21:37:33.000,n,Value,1
2026-05-13 21:37:34.000,0,ipackets,2
2026-05-13 21:37:34.000,0,imissed,0
2026-05-13 21:37:34.000,0,oerrors,712
2026-05-13 21:37:34.000,0,rx_nombuf,0
2026-05-13 21:37:34.000,0,ibytes,538
2026-05-13 21:37:34.000,0,ierrors,0
2026-05-13 21:37:34.000,0,opackets,264667714
2026-05-13 21:37:34.000,0,obytes,15880060664
2026-05-13 21:37:34.000,n,Value,1
2026-05-13 21:37:35.000,0,ipackets,2
2026-05-13 21:37:35.000,0,imissed,0
2026-05-13 21:37:35.000,0,oerrors,812
2026-05-13 21:37:35.000,0,rx_nombuf,0
2026-05-13 21:37:35.000,0,ibytes,538
2026-05-13 21:37:35.000,0,ierrors,0
2026-05-13 21:37:35.000,0,opackets,301870858
2026-05-13 21:37:35.000,0,obytes,18112249240
2026-05-13 21:37:35.000,n,Value,1
2026-05-13 21:37:36.000,0,ipackets,2
2026-05-13 21:37:36.000,0,imissed,0
2026-05-13 21:37:36.000,0,oerrors,912
2026-05-13 21:37:36.000,0,rx_nombuf,0
2026-05-13 21:37:36.000,0,ibytes,538
2026-05-13 21:37:36.000,0,ierrors,0
2026-05-13 21:37:36.000,0,opackets,339066643
2026-05-13 21:37:36.000,0,obytes,20343996212
2026-05-13 21:37:36.000,n,Value,1
2026-05-13 21:37:37.000,0,ipackets,2
2026-05-13 21:37:37.000,0,imissed,0
2026-05-13 21:37:37.000,0,oerrors,1012
2026-05-13 21:37:37.000,0,rx_nombuf,0
2026-05-13 21:37:37.000,0,ibytes,538
2026-05-13 21:37:37.000,0,ierrors,0
2026-05-13 21:37:37.000,0,opackets,376258429
2026-05-13 21:37:37.000,0,obytes,22575503564
2026-05-13 21:37:37.000,n,Value,1
2026-05-13 21:37:38.000,0,ipackets,2
2026-05-13 21:37:38.000,0,imissed,0
2026-05-13 21:37:38.000,0,oerrors,1112
2026-05-13 21:37:38.000,0,rx_nombuf,0
2026-05-13 21:37:38.000,0,ibytes,538
2026-05-13 21:37:38.000,0,ierrors,0
2026-05-13 21:37:38.000,0,opackets,413453970
2026-05-13 21:37:38.000,0,obytes,24807235960
2026-05-13 21:37:38.000,n,Value,1
2026-05-13 21:37:39.000,0,ipackets,2
2026-05-13 21:37:39.000,0,imissed,0
2026-05-13 21:37:39.000,0,oerrors,1212
2026-05-13 21:37:39.000,0,rx_nombuf,0
2026-05-13 21:37:39.000,0,ibytes,538
2026-05-13 21:37:39.000,0,ierrors,0
2026-05-13 21:37:39.000,0,opackets,450633945
2026-05-13 21:37:39.000,0,obytes,27038033692
2026-05-13 21:37:39.000,n,Value,1
2026-05-13 21:37:40.000,0,ipackets,2
2026-05-13 21:37:40.000,0,imissed,0
2026-05-13 21:37:40.000,0,oerrors,1312
2026-05-13 21:37:40.000,0,rx_nombuf,0
2026-05-13 21:37:40.000,0,ibytes,538
2026-05-13 21:37:40.000,0,ierrors,0
2026-05-13 21:37:40.000,0,opackets,487789120
2026-05-13 21:37:40.000,0,obytes,29267344896
2026-05-13 21:37:40.000,n,Value,1
2026-05-13 21:37:41.000,0,ipackets,2
2026-05-13 21:37:41.000,0,imissed,0
2026-05-13 21:37:41.000,0,oerrors,1412
2026-05-13 21:37:41.000,0,rx_nombuf,0
2026-05-13 21:37:41.000,0,ibytes,538
2026-05-13 21:37:41.000,0,ierrors,0
2026-05-13 21:37:41.000,0,opackets,524992308
2026-05-13 21:37:41.000,0,obytes,31499536240
2026-05-13 21:37:41.000,n,Value,1
2026-05-13 21:37:42.000,0,ipackets,2
2026-05-13 21:37:42.000,0,imissed,0
2026-05-13 21:37:42.000,0,oerrors,1512
2026-05-13 21:37:42.000,0,rx_nombuf,0
2026-05-13 21:37:42.000,0,ibytes,538
2026-05-13 21:37:42.000,0,ierrors,0
2026-05-13 21:37:42.000,0,opackets,562129712
2026-05-13 21:37:42.000,0,obytes,33727780544
2026-05-13 21:37:42.000,n,Value,1
2026-05-13 21:37:43.000,0,ipackets,2
2026-05-13 21:37:43.000,0,imissed,0
2026-05-13 21:37:43.000,0,oerrors,1612
2026-05-13 21:37:43.000,0,rx_nombuf,0
2026-05-13 21:37:43.000,0,ibytes,538
2026-05-13 21:37:43.000,0,ierrors,0
2026-05-13 21:37:43.000,0,opackets,599299116
2026-05-13 21:37:43.000,0,obytes,35957944784
2026-05-13 21:37:43.000,n,Value,1
2026-05-13 21:37:44.000,0,ipackets,2
2026-05-13 21:37:44.000,0,imissed,0
2026-05-13 21:37:44.000,0,oerrors,1712
2026-05-13 21:37:44.000,0,rx_nombuf,0
2026-05-13 21:37:44.000,0,ibytes,538
2026-05-13 21:37:44.000,0,ierrors,0
2026-05-13 21:37:44.000,0,opackets,636435978
2026-05-13 21:37:44.000,0,obytes,38186156440
2026-05-13 21:37:44.000,n,Value,1
2026-05-13 21:37:45.000,0,ipackets,2
2026-05-13 21:37:45.000,0,imissed,0
2026-05-13 21:37:45.000,0,oerrors,1812
2026-05-13 21:37:45.000,0,rx_nombuf,0
2026-05-13 21:37:45.000,0,ibytes,538
2026-05-13 21:37:45.000,0,ierrors,0
2026-05-13 21:37:45.000,0,opackets,673579580
2026-05-13 21:37:45.000,0,obytes,40414772560
2026-05-13 21:37:45.000,n,Value,1
2026-05-13 21:37:46.000,0,ipackets,2
2026-05-13 21:37:46.000,0,imissed,0
2026-05-13 21:37:46.000,0,oerrors,1912
2026-05-13 21:37:46.000,0,rx_nombuf,0
2026-05-13 21:37:46.000,0,ibytes,538
2026-05-13 21:37:46.000,0,ierrors,0
2026-05-13 21:37:46.000,0,opackets,710714656
2026-05-13 21:37:46.000,0,obytes,42642877184
2026-05-13 21:37:46.000,n,Value,1
2026-05-13 21:37:47.000,0,ipackets,2
2026-05-13 21:37:47.000,0,imissed,0
2026-05-13 21:37:47.000,0,oerrors,2012
2026-05-13 21:37:47.000,0,rx_nombuf,0
2026-05-13 21:37:47.000,0,ibytes,538
2026-05-13 21:37:47.000,0,ierrors,0
2026-05-13 21:37:47.000,0,opackets,747857893
2026-05-13 21:37:47.000,0,obytes,44871471468
2026-05-13 21:37:47.000,n,Value,1
2026-05-13 21:37:48.000,0,ipackets,2
2026-05-13 21:37:48.000,0,imissed,0
2026-05-13 21:37:48.000,0,oerrors,2112
2026-05-13 21:37:48.000,0,rx_nombuf,0
2026-05-13 21:37:48.000,0,ibytes,538
2026-05-13 21:37:48.000,0,ierrors,0
2026-05-13 21:37:48.000,0,opackets,784976861
2026-05-13 21:37:48.000,0,obytes,47098609356
2026-05-13 21:37:48.000,n,Value,1
2026-05-13 21:37:49.000,0,ipackets,2
2026-05-13 21:37:49.000,0,imissed,0
2026-05-13 21:37:49.000,0,oerrors,2212
2026-05-13 21:37:49.000,0,rx_nombuf,0
2026-05-13 21:37:49.000,0,ibytes,538
2026-05-13 21:37:49.000,0,ierrors,0
2026-05-13 21:37:49.000,0,opackets,822103140
2026-05-13 21:37:49.000,0,obytes,49326186032
2026-05-13 21:37:49.000,n,Value,1
2026-05-13 21:37:50.000,0,ipackets,2
2026-05-13 21:37:50.000,0,imissed,0
2026-05-13 21:37:50.000,0,oerrors,2312
2026-05-13 21:37:50.000,0,rx_nombuf,0
2026-05-13 21:37:50.000,0,ibytes,538
2026-05-13 21:37:50.000,0,ierrors,0
2026-05-13 21:37:50.000,0,opackets,859235495
2026-05-13 21:37:50.000,0,obytes,51554127332
2026-05-13 21:37:50.000,n,Value,1
2026-05-13 21:37:51.000,0,ipackets,3
2026-05-13 21:37:51.000,0,imissed,0
2026-05-13 21:37:51.000,0,oerrors,2412
2026-05-13 21:37:51.000,0,rx_nombuf,0
2026-05-13 21:37:51.000,0,ibytes,810
2026-05-13 21:37:51.000,0,ierrors,0
2026-05-13 21:37:51.000,0,opackets,896365032
2026-05-13 21:37:51.000,0,obytes,53781899680
